URL,Title,Brand,MRP,Current Price,Discount %,Rating,Reviews,Brand,CPU Model,CPU Speed,Operating System,RAM Memory Installed Size
https://www.amazon.in/Redmi-Sparkle-Storage-Segment-Charging/dp/B0DLW44CGS/ref=sr_1_1?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-1,"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box",Redmi,11999,8399,30,4.0,8638,Redmi,Others,2 GHz,Android 14,4 GB
https://www.amazon.in/Samsung-Storage-MediaTek-Charging-Upgrades/dp/B0FN7QTRPY/ref=sr_1_3?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-3,"Samsung Galaxy M07 (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | IP54 Rating | 50MP Auto Focus Camera | 7.6mm Slim | 5000mAh Battery| 25W Fast Charging | 6 Gen of OS Upgrades | Without Charger",Samsung,9999,6799,32,3.6,40,Samsung,MediaTek Helio,2.2 GHz,Android 15.0,4 GB
https://www.amazon.in/POCO-Ocean-Blue-6GB-128GB/dp/B0F135PGDX/ref=sr_1_2?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-2,"POCO M7 5G, Ocean Blue (6GB, 128GB)",POCO,12999,8449,35,4.1,1584,POCO,Snapdragon,2.2 GHz,Android 14,6 GB
https://www.amazon.in/Infinix-Storage-MediaTek-Ultimate-FastCharge/dp/B0F3V36VTX/ref=sr_1_11?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-11,"Infinix Note 50x 5G+ (Sea Breeze Green, 6GB RAM, 128GB Storage) | MediaTek D7300 Ultimate | 90FPS BGMI Gaming | 5500mAH Battery with 45W FastCharge | 650K+ AnTuTu AI",Infinix Mobile,14999,11999,20,4.3,204,Infinix Mobile,Others,2.5 GHz,Android 15 || XOS 15 (Based on Android 15),6 GB
https://www.amazon.in/Redmi-Orchid-Largest-Display-Segment/dp/B0D78X5CMJ/ref=sr_1_9?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-9,"Redmi 13 5G Prime Edition, Orchid Pink, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",Redmi,19999,11199,44,4.1,3383,Redmi,Snapdragon,2.3 GHz,Android 14,8 GB
https://www.amazon.in/Samsung-Sapphire-Storage-Gorilla-Upgrades/dp/B0FN7WCV5Y/ref=sr_1_10?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-10,"Samsung Galaxy M17 5G (Sapphire Black, 6GB RAM, 128GB Storage)| 50MP OIS Triple Camera| Gorilla Glass Victus| IP54 Rating| 6 Gen of OS Upgrades| AI| Circle to Search| Gemini Live| Without Charger",Samsung,17999,15479,14,4.2,115,Samsung,Exynos 1330 S5E8535,2.4 GHz,Android 15.0,6 GB
https://www.amazon.in/POCO-Plus-Ice-Silver-128GB/dp/B0D9KKXJSY/ref=sr_1_6?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-6,POCO M6 Plus 5G Ice Silver 8GB RAM 128GB ROM,POCO,14499,10294,29,4.0,1500,POCO,Snapdragon,2.3 GHz,"Android 14, Xiaomi HyperOS",8 GB
https://www.amazon.in/Redmi-Storage-Premium-Powerful-Processor/dp/B0D78VJQ93/ref=sr_1_5?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-5,Redmi A3X Ocean Green 4GB RAM 128GB ROM,Redmi,10999,6501,39,4.0,139,Redmi,Snapdragon,1.8 GHz,Android 14,4 GB
https://www.amazon.in/Xiaomi-Matcha-Green-256GB-Storage/dp/B0D81K17MT/ref=sr_1_14?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-14,XIAOMI 14 Civi Matcha Green (8GB RAM 256GB Storage) | 50 MP Leica Triple Camera| SD 8s Gen 3 | 1.5K Quad Curved AMOLED HyperOS,XIAOMI,54999,26400,52,4.1,1105,XIAOMI,Snapdragon,"2, 2.8, 3 GHz","Android 14, HyperOS",8 GB
https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0DX5R87P8/ref=sr_1_7?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.auiEFqytY0iX-G7r0YCPUD0BpO1OeZUv0eODPkLv1ppVstxDtsX5g0c6HxsRmWG2_vFZWnIIzaZ8d9noiLXzctTABLeyoJVnrIYrxUhe2Ex_yZYk5Mc-BYyh33F-msXioWBUGlbPUhi03I0dOHugf1foKvYl0a0I3F2KlyqU0_vjzQPei_zIPzQodIY92kr9VfGCJHv8cOwGN0IQ83VHA9gknKpz8u_Zcl9VQwlGZT8.8NgYmkFK2chGJ9syaRRTUg27ZHTXZ4OvGowsSq7hSy4&dib_tag=se&keywords=mobile&qid=1762120180&sprefix=mobile%2Caps%2C236&sr=8-7,"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger",Samsung,15499,11469,26,3.9,4394,Samsung,Others,2.4 GHz,Android 15.0,6 GB
