URL,Title,Brand,MRP,Current Price,Discount %,Rating,Reviews,Backlit Keyboard,Battery Backup,Battery Cell,Bluetooth,Clock Speed,Color,Covered in Warranty,Dimensions,Disk Drive,Domestic Warranty,Finger Print Sensor,Graphic Processor,HDMI Port,Included Software,Internal Mic,Keyboard,MS Office Provided,Mic In,Model Name,Model Number,Not Covered in Warranty,Number of Cores,Operating System,Part Number,Power Supply,Processor Brand,Processor Generation,Processor Name,Processor Variant,RAM,RAM Type,SSD,SSD Capacity,Sales Package,Screen Resolution,Screen Size,Screen Type,Series,Speakers,Storage Type,Suitable For,Supported Operating System,Touchscreen,Type,USB Port,Warranty Service Type,Warranty Summary,Web Camera,Weight,Wireless LAN
https://www.flipkart.com/motorola-motobook-60-full-metal-oled-i5-14th-gen-intel-core-5-series-2-210h-16-gb-512-gb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itme7b254581c42e?pid=COMHAUZW4MMNNCGT&lid=LSTCOMHAUZW4MMNNCGTEVATRK&marketplace=FLIPKART&q=latop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_zMOdDzwhPpQD1PHho9y3x_jU8OlmpsYbhwIj728_WpCzu_8jm54oEVWWxZOmx9W431hr1OtFQ10Ln8I6wGhpyU4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=mx273pae6o0000001759259301538&qH=1a5b847988ddf619,MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH10R Thin and Light Laptop,MOTOROLA,49989,49989,0,4.4,880,Yes,Upto 6 Hours,Lithium-Polymer,Yes,up to 4.80 GHz,PANTONE Bronze Green,Manufacturing Defects,313.4 x 222 x 179 mm,Not Available,1 Year,No,Intel Integrated,1 x HDMI 1.4b,Office Home 2024,2 Digital Array Microphone,N/A,Yes,Yes,Motobook 60,14IRH10R,Physical Damage,8,Windows 11 Home,83J7000CIN,65W AC Adapter,Intel,N/A,Core 5 (Series 2),210H,16 GB,DDR5,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",2880 x 1880 pixel,35.56 cm (14 Inch),OLED Display,Motobook 60 Full Metal OLED (i5 14th Gen),2Wx2 HD Audio,SSD,"Entertainment, Performance, Processing & Multitasking, Everyday Use, Travel & Business",Windows 11,No,Thin and Light Laptop,"2 x USB3.2 Gen-1 (1 port always on), 1x USB (5Gbps- Data Transfer)",Onsite,1 Year Onsite Warranty,FHD Webcam,1.4 Kg,N/A
https://www.flipkart.com/apple-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly43hn-a/p/itmdc5308fa78421?pid=COMGFB2GDBDYXF9D&marketplace=FLIPKART,Apple MacBook AIR Apple M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY43HN/A,Apple,79990,79990,0,4.7,1864,Yes,Upto 18 Hours,N/A,v5.0,N/A,Midnight,Manufacturing Defects,304.1 x 215.0 x 11.3,Not Available,1 Year,N/A,NA,N/A,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",Three-mic Array with Directional Beamforming,Backlit Magic Keyboard,No,Yes,MacBook Air,MLY43HN/A,Physical Damage,8,Mac OS Monterey,MLY43HN/A,35 W Dual USB-C Port Power Adapter,Apple,N/A,M2,Apple M2 Chip,8 GB,Unified Memory,Yes,512 GB,"MacBook Air, 35W Dual USB-C Port Power Adapter, USB-C to MagSafe 3 Cable",2560 x 1664 Pixel,34.54 cm (13.6 Inch),"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",MacBook AIR,Built-in Speakers,SSD,Processing & Multitasking,N/A,No,Thin and Light Laptop,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",Onsite,1 Year Limited Warranty,1080p FaceTime HD camera,1.24 Kg,802.11ax Wi-Fi 6 wireless networking
https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&marketplace=FLIPKART,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-LG9IN Thin and Light Laptop,Samsung,33990,33990,0,4.4,6720,N/A,N/A,N/A,v5.2,Up to 4.5 GHz,Gray,Manufacturer Defect Only,356.6 x 229.15 x 15.4 mm,Not Available,N/A,Yes,Intel Integrated Iris Xe,N/A,N/A,Internal Digital MIC,QWERTY,Yes,N/A,NP750XGJ-LG9IN,NP750XGJ-LG9IN,Physical Damage,N/A,Windows 11 Home,NP750XGJ-LG9IN,N/A,Intel,13th Gen,Core i3,1315U,8 GB,LPDDR4X,Yes,512 GB,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",1920 x 1080 Pixel,39.62 cm (15.6 Inch),Full HD LCD Display,Galaxy Book4 Metal,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",SSD,Processing & Multitasking,N/A,No,Thin and Light Laptop,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",Onsite,1 Year Onsite Warranty,"Yes, 1 Megapixel",1.55 Kg,Wi-Fi 6
https://www.flipkart.com/dell-15-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-3535-thin-light-laptop/p/itm672bf7685863c?pid=COMH8EPFGAZ5HFM3&marketplace=FLIPKART,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,DELL,41990,41990,0,4.3,855,N/A,Up to 7 Hrs*,N/A,Yes,up to 4.50 GHz,Platinum Silver,Manufacturing Defects Only,358 x 235 x 18.9 mm,Not Available,N/A,N/A,AMD Radeon AMD,N/A,"My Dell (Dell Power Manager,Dell Support Assist)",N/A,Standard Keyboard,Yes,N/A,Inspiron 3535 /15 DC 15255,3535,Physical Damage,N/A,Windows 11 Home,0IN3535100801RINS1O / ODC1525580201RINS1,65 Watt AC Adapter,AMD,N/A,Ryzen 5 Hexa Core,7530U,16 GB,DDR4,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),Full HD,15,Stereo speakers with Waves MaxxAudio�Pro,SSD,Processing & Multitasking,Windows 11 Home,No,Thin and Light Laptop,N/A,Onsite,1 Year Onsite Warranty,N/A,1.67 Kg,N/A
https://www.flipkart.com/acer-aspire-15-amd-ryzen-5-hexa-core-7430u-16-gb-512-gb-ssd-windows-11-home-as15-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XW36HUXB8&marketplace=FLIPKART,Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin and Light Laptop,Acer,32990,32990,0,4.1,2160,N/A,N/A,N/A,v5.1,Up to 4.3 GHz,Silver,Manufacturing Defects,360.8 x 253.33 x 19.3 mm,Not Available,N/A,N/A,AMD Radeon AMD,N/A,N/A,Yes,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,No,N/A,A325-42,Aspire AS15-42,Physical Damage,N/A,Windows 11 Home,UN.34QSI.002 / UN.35MSI.OOD,N/A,AMD,N/A,Ryzen 5 Hexa Core,7430U,16 GB,DDR4,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),Full HD,Aspire 15,Two built-in front facing stereo speakers,SSD,Everyday Use,N/A,No,Thin and Light Laptop,"3 x USB ports, 2 x Type-C port",Carry-in,1 Year Carry-in Warranty,Full HD camera,1.79 Kg,Wifi 6
https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=latop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=ea605ccb-c00a-4f6c-8851-b2fbb64221fc.COMH4B6CGTPNVJW9.SEARCH&ppt=None&ppn=None&ssid=mx273pae6o0000001759259301538&qH=1a5b847988ddf619,Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light Laptop,Acer,27990,27990,0,4.3,2527,N/A,N/A,N/A,v5.2,Max Frequency up to 4.50 GHz,Steel Gray,Manufacturing Defects,321.7 x 206.6 x 19.4 mm,Not Available,N/A,N/A,Intel Integrated UHD,N/A,N/A,Yes,84-key Acer keyboard layout with US language: Additional feature.,No,N/A,A324-53,A324-53,Physical Damage,N/A,Windows 11 Home,UN.34RSI.002,N/A,Intel,13th Gen,Core i3,1305U,8 GB,DDR4,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,35.56 cm (14 Inch),Full HD,Aspire 3,Two built-in stereo speakers,SSD,Everyday Use,N/A,No,Thin and Light Laptop,"2 x USB 3.2 port, 1 x USB 2.0 port, 1 x Type-C port for PD Adapter",Carry-in,1 Year Carry-in Warranty,Video conferencing: 2M With Privacy Camera Shutter,1.45 Kg,WIFI 6
https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDFZXHWYWZ&marketplace=FLIPKART,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG1IN / NP750XGJ-LG1IN Thin and Light Laptop,Samsung,53789,53789,0,4.4,12330,N/A,N/A,4 Cell Lithium Ion Battery,v5.2,Max Frequency Up to 4.60 GHz,Gray,Manufacturer Defect Only,356.6 x 15.4 x 229.15mm,Not Available,N/A,Yes,Intel Integrated Iris Xe,"Yes, 1 x HDMI",N/A,Internal Digital MIC,QWERTY,Yes,Yes,NP750XGJ-LG6IN,NP750XGJ-KG1IN / NP750XGJ-LG1IN,Physical Damage,N/A,Windows 11 Home,NP750XGJ-LG6IN,45W AC Adapter,Intel,13th Gen,Core i5,1335U,8 GB,LPDDR4X,Yes,512 GB,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",1920 x 1080 Pixel,39.62 cm (15.6 Inch),Full HD LCD Display,Galaxy Book4 Metal,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",SSD,Processing & Multitasking,N/A,No,Thin and Light Laptop,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",Onsite,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,"Yes, 1 Megapixel",1.55 Kg,802.11ax
https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7w4hn-a/p/itm2ea42dec44bca?pid=COMH64PYZU4ZZR79&lid=LSTCOMH64PYZU4ZZR79AHLYXY&marketplace=FLIPKART&q=latop&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=ea605ccb-c00a-4f6c-8851-b2fbb64221fc.COMH64PYZU4ZZR79.SEARCH&ppt=None&ppn=None&ssid=mx273pae6o0000001759259301538&qH=1a5b847988ddf619,Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,Apple,64999,64999,0,4.7,4867,Yes,Upto 18 Hours,N/A,v5.3,N/A,Starlight,Manufacturing Defects,304.1 x 215.0 x 11.3 mm,Not Available,1 Year,N/A,NA,N/A,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",N/A,Backlit Magic Keyboard,No,Yes,MacBook Air,MC7W4HN/A,Physical Damage,N/A,macOS Sequoia,MC7W4HN/A,N/A,Apple,N/A,M2,N/A,16 GB,Unified Memory,Yes,256 GB,"13.6 inch MacBook Air USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",2560 x 1664 Pixel,34.54 cm (13.6 Inch),"Liquid Retina display, LED-backlit display with IPS technology native resolution at 224 pixels per inch, 500 nits brightness",MacBook AIR,Built-in Speakers,SSD,Processing & Multitasking,N/A,No,Thin and Light Laptop,2 x Thunderbolt USB 4,Onsite,1 Year Limited Warranty,1080p FaceTime HD camera,1.24 kg,Wi-Fi 6 (802.11ax)
https://www.flipkart.com/hp-15-core-i3-intel-core-3-14th-gen-100u-8-gb-512-gb-ssd-windows-11-home-15-fd1253tu-15-fd1225tu-thin-light-laptop/p/itm09491ad4135b2?pid=COMHBFRJDZSGPFKZ&lid=LSTCOMHBFRJDZSGPFKZVNWQJP&marketplace=FLIPKART&q=latop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_zMOdDzwhPpQD1PHho9y3x_jU8OlmpsYbhwIj728_WpBkfHvLSKRBpq-bn8t5I_ujVAYB6QUK8WfQTovJ0h8KBYE8waCTrWcncKeK_ydPfoM%3D&ppt=None&ppn=None&ssid=mx273pae6o0000001759259301538&qH=1a5b847988ddf619,HP 15 (Core i3) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and Light Laptop,HP,35990,35990,0,4.2,478,No,Up to 6 hours and 45 minutes,"3-cell, 41 Wh Li-ion polymer",v5.3,up to 4.7 GHz,Natural Silver,Manufacturing Defects,359.8 x 236 x 186 mm,Not Available,1 Year,No,Intel Integrated,1 x HDMI 1.4b,MS Office Home 2024 + MISC PC Game Pass DA 3M,Integrated Dual Array Digital Microphones,"Full-size, soft grey keyboard with numeric keypad",Yes,N/A,15-fd1253TU,15-fd1253TU/ 15-fd1225TU,"Physical Damage, Burn, Liquid Spill",6,Windows 11 Home,BG6E5PA#ACJ,65 W AC power adapter,Intel,14th Gen,Core 3,100U,8 GB,DDR4,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"FHD, micro-edge, anti-glare, 250 nits, 45% NTSC",15 (Core i3),Dual speakers,SSD,Processing & Multitasking,Windows 11 Home Single Language,No,Thin and Light Laptop,"2 x USB Type-A 5Gbps signaling rate 1 headphone/microphone combo; 1 x USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.2, HP Sleep and Charge)",Onsite,1 Year Onsite Warranty,HP True Vision 1080p FHD camera with temporal noise reduction,1.65 Kg,Realtek Wi-Fi 6 (2x2)
https://www.flipkart.com/acer-aspire-7-intel-core-5-210h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-a715-79g-gaming-laptop/p/itm5d7d76bf05897?pid=COMHEYV9AZZXC8PC&lid=LSTCOMHEYV9AZZXC8PCE20HTI&marketplace=FLIPKART&q=latop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_zMOdDzwhPpQD1PHho9y3x_jU8OlmpsYbhwIj728_WpDaabAhQurfkCRJv29Cdi80DFgdEvEJPjJVvnGXi2vkG8DbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=mx273pae6o0000001759259301538&qH=1a5b847988ddf619,Acer Aspire 7 Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) A715-79G Gaming Laptop,Acer,64989,64989,0,4.4,N/A,Yes,N/A,54 Wh 4-cell Polymer battery,Yes,up to 4.80 GHz,Obsidian Black,Manufacturing Defects,359.5 x 238 x 22.7 mm,Not Available,1 Year,N/A,NVIDIA GeForce RTX 4050,N/A,N/A,N/A,N/A,No,Yes,A715-79G,A715-79G,Physical Damage,8,Windows 11 Home,UN.U35SI.002,150 W,Intel,N/A,Core 5,210H,16 GB,DDR4,Yes,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",1920 x 1080 Pixel,39.62 cm (15.6 Inch),"15.6"" display with FHD 1920 x 1080 :WVA LCD,144Hz,45% NTSC",Aspire 7,Yes,SSD,"Gaming, Entertainment, Performance, Processing & Multitasking, Everyday Use",Windows 11 Home,No,Gaming Laptop,N/A,Onsite,1 Year Warranty,1.0M HD Video camera,1.99 Kg,802.11 a/b/g/n/ac/ax
