URL,Title,Brand,MRP,Current Price,Discount %,Rating,Reviews,Brand,Colour,Ear Placement,Form Factor,Impedance
https://www.amazon.in/Noise-Launched-Wireless-Playtime-Transparent/dp/B0FHW8KKN9/ref=sr_1_16?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-16,"Noise Newly Launched Buds VS601 in Ear Truly Wireless Earbuds with 50H of Playtime, Transparent Case Lid, Quad Mic ENC, Dual Device Pairing, 10Mm Driver, BT V5.3 (Graphite Black)",Noise,3999,1000,75,4.7,78,Noise,Graphite Black,In Ear,True Wireless,N/A
https://www.amazon.in/Noise-Launched-Wireless-Playtime-Transparent/dp/B0FHW7PX1N/ref=sr_1_20?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-20,"Noise Newly Launched Buds VS601 in Ear Truly Wireless Earbuds with 50H of Playtime, Transparent Case Lid, Quad Mic ENC, Dual Device Pairing, 10Mm Driver, BT V5.3 (Copper Brown)",Noise,3999,1000,75,4.7,78,Noise,Copper Brown,In Ear,True Wireless,N/A
https://www.amazon.in/boAt-Airdopes-91-Prime-Bluetooth/dp/B0DPWL48Z5/ref=sr_1_19?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-19,"boAt Airdopes 91 Prime, 45HRS Battery, 13mm Drivers, Metallic Finish, Low Latency,ENx Tech, Fast Charge, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Midnight Black)",boAt,3990,699,82,3.4,9168,boAt,Midnight Black,In Ear,True Wireless,N/A
https://www.amazon.in/OnePlus-Wireless-Bluetooth-Cancellation-Chromatic/dp/B0DNJXJS35/ref=sr_1_14?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-14,"OnePlus Nord Buds 3 Truly Wireless Bluetooth in Ear Earbuds with up to 32dB Active Noise Cancellation, 10mins for 11Hours Fast Charging with Up to 43h Music Playback -Chromatic Blue",OnePlus,2799,1791,36,4.2,9243,OnePlus,Chromatic Blue,In Ear,In Ear,8 Ohm
https://www.amazon.in/OnePlus-Playback-Translation-Dual-Device-Connectivity/dp/B0FMDL81GS/ref=sr_1_4?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-4,"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Ash Black",OnePlus,1999,1599,20,4.2,30366,OnePlus,Ash Black,N/A,On Ear,N/A
https://www.amazon.in/OnePlus-Playback-Translation-Dual-Device-Connectivity/dp/B0FMDLD86P/ref=sr_1_9?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-9,"OnePlus Nord Buds 3r TWS Earbuds up to 54 Hours Playback, 2-mic Clear Calls, 3D Spatial Audio, AI Translation, 12.4mm Drivers, Dual-Device Connectivity, 47ms Low Latency - Aura Blue",OnePlus,1999,1599,20,4.2,30366,OnePlus,Aura Blue,N/A,On Ear,N/A
https://www.amazon.in/OnePlus-Wireless-Bluetooth-Cancellation-Harmonic/dp/B0DFQ1R3W4/ref=sr_1_5?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-5,"OnePlus Nord Buds 3 Truly Wireless Bluetooth in Ear Earbuds with Up to 32Db Active Noise Cancellation,10Mins for 11Hours Fast Charging with Up to 43H Music Playback -Harmonic Gray",OnePlus,2799,1791,36,4.2,9243,OnePlus,Harmonic Gray,In Ear,In Ear,8 Ohm
https://www.amazon.in/boAt-Nirvana-Ion-ANC-Cancellation/dp/B0CF5PNVZH/ref=sr_1_15?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-15,"boAt Nirvana Ion ANC, Active Noise Cancellation(~32dB), 120Hrs Battery, App Support, Crystal Bionic Sound, 4Mics ENx, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Crystal Black)",boAt,9990,1649,83,4.0,18345,boAt,Crystal Black (120 Hrs with ANC),In Ear,In Ear,32 Ohm
https://www.amazon.in/realme-Wireless-Earbuds-Dynamic-Playback/dp/B0FBR6HGXM/ref=sr_1_8?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-8,"realme Buds T200x True Wireless Earbuds with 12.4mm Dynamic Bass Drivers, 25 dB ANC, Quad Mic, 45ms Latency, Upto 48 Hrs Playback, Fast Charge, IP55 Rated, BT 5.4 (Pure Black)",realme,2499,1200,52,4.0,27190,realme,PURE BLACK,In Ear,True Wireless,32 Ohm
https://www.amazon.in/boAt-Nirvana-Space-Cancellation-Bluetooth/dp/B0DDP7F317/ref=sr_1_10?crid=2K91KPZM8IIUC&dib=eyJ2IjoiMSJ9.eYnPVL2NDv4hzJsh4fON9_-aNPyq1PQriWLaw2iL0Be2z4YWHQMzVRGIIZztTmIDSabD2pzq-UoE0ttJkrg2H8begmE_vRfX809FzngM0B1ygaKgUVOCYvI0kshNJMGovakBdqkYEbcW5YhxUfFiNS0HdkCOBZJED5k7ZDSFf90YHILTd_35YJLM2Hrh9drnYwLfYdryjPQECHUkm5MRNnDyqcZMv6JW0SBy5omnlAM._BPFn1qqSkK-sXBc73iPWxwMVQf7xHi5OxCnEZbp45M&dib_tag=se&keywords=earbuds+under+2000&qid=1758559889&sprefix=earbuds+under+2000%2Caps%2C236&sr=8-10,"boAt Nirvana Space, 360 Spatial Audio, Active Noise Cancellation (~32dB), 100Hrs Battery,4Mics ENx, Fast Charge, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Pink Punch)",boAt,8499,1615,81,4.0,5296,boAt,Pink Punch,In Ear,In Ear,32 Ohm
