Title,Brand,MRP,Current Price,Discount,Rating,Reviews,Brand,CPU Model,Colour,Graphics Card Description,Hard Disk Size,Model Name,Operating System,RAM Memory Installed Size,Screen Size,Special Feature
"HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop (15.6 inch, Ash Silver, 1.35 kg)",HP,30336,22145,27%,3.7,102,HP,Others,Silver,Integrated,256 GB,HP Laptop,Windows 11,8 GB,39.6 Centimetres,Anti Glare Coating
"ASUS Vivobook 15, Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and Light Laptop (8GB RAM/512GB SSD/Win11/MS Office/Backlit Keyboard/Silver/1.7 kg), X1504VA-NJ320WS",ASUS,57990,33054,43%,4.1,142,ASUS,Core i3,Silver,Integrated,512 GB,ASUS Vivobook 15,Windows 11 Home,8 GB,15.6 Inches,"Anti Glare Coating, Backlit Keyboard"
"Cable World® Educational Laptop Computer Toy for Kids Above 3 Years - 20 Fun Activity Learning Machine, Now Learn Letter, Words, Games, Mathematics, Music, Logic, Memory Tool",,2599,650,75%,3.8,4009,,,,,,,,,,
"Dell Inspiron 3530, Intel Core i5 13th Gen - 1334U, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'24, Silver, 1.62kg, Backlit Keyboard, 15 Month McAfee, Thin & Light Laptop",Dell,72605,53002,27%,3.8,80,Dell,Core i5,Silver,Integrated,1 TB,Inspiron,Windows 11 Home,16 GB,15.6 Inches,Backlit Keyboard
"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",acer,30999,18909,39%,3.4,532,acer,Celeron N,Silver,Integrated,256 GB,Aspire 3,Windows 11 Home,8 GB,15.6 Inches,Thin
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U,Thin & Light (AMD Radeon iGPU/8GB RAM/512GB SSD/FHD/14/60Hz/42WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mixed Black/1.38 kg) E1404FA-NK3325WS",ASUS,43990,29033,34%,4.1,68,ASUS,Ryzen 3,Mixed Black,Integrated,512 GB,ASUS Vivobook Go 14,Windows 11 Home,8 GB,14 Inches,"60Hz refresh rate, Anti-glare display"
"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, fy5006tu/fd0751tu/fd0752tu, UHD Graphics, HD Camera, Dual Speakers Laptop",HP,42359,32193,24%,4.0,497,HP,Core i3,Natural Silver,Integrated,512 GB,HP Laptop,Windows 11 Home,8 GB,39.6 Centimetres,"Anti-glare Display, FHD"
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",HP,45995,30817,33%,4.0,1813,HP,Ryzen 3,Light Silver,Integrated,512 GB,HP Laptop,Windows,8 GB,39.6 Centimetres,"Anti Glare Coating, Numeric Keypad"
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop",ASUS,69990,45990,33%,4.0,196,ASUS,Core i5,Office 2024_Blue,Integrated,512 GB,ASUS Vivobook 15,Windows 11 Home,16 GB,15.6 Inches,"60Hz refresh rate, Anti-glare display"
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",HP,52721,36905,30%,4.0,497,HP,Core i3 Family,Natural Silver,Integrated,512 GB,HP Laptop,Windows 11 Home,12 GB,39.6 Centimetres,Anti Glare Coating
"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",acer,33999,22116,37%,3.4,532,acer,Others,Silver,Integrated,512 GB,Aspire 3,Windows 11 Home,8 GB,15.6 Inches,Thin
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",Lenovo,89990,33390,62%,4.0,167,Lenovo,Ryzen 5,Gray,Integrated,512 GB,V15 G4 AMN,Windows 11,16 GB,15.6 Inches,HD Audio
"HP 15, 13th Gen Intel Core i5-1335U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/Privacy Shutter, fd0577TU",HP,70841,51006,28%,3.8,237,HP,Core i5,Glacier Silver,Integrated,512 GB,HP Laptop,Windows 11 Home,16 GB,39.6 Centimetres,"Anti Glare Coating, Backlit Keyboard"
"Neopticon BrowseBook 14.1"" FHD IPS Laptop | Celeron N4020 Dual Core up to 2.8GHz | 4GB RAM | 128GB SSD | UHD Graphics | Win 11 Home | 38Wh | 1.3kg | Grey",Neopticon,30000,12190,60%,3.9,6,Neopticon,Celeron N4020,Gray,Integrated,128 GB,BrowseBook,Windows 11 Home,4 GB,14.1 Inches,"HD Audio, Memory Card Slot"
"Walker Best Student &Office Work Laptop|Thin & Light|14.1"" 1920 * 1080 Resolution FHD IPS Display |4GB RAM,128GB SSD|Celeron Processor N4020 (Gemini Lake)| Windows 11 Home | Silver",Walker,30000,12300,59%,3.3,162,Walker,Celeron N4020,Silver,Integrated,128 GB,NU14A2,Windows 11 Home,4 GB,14.1 Inches,Thin
"Acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",acer,46990,26784,43%,3.9,1569,acer,Others,Steel Gray,Integrated,512 GB,Aspire Lite,Windows 11 Home,16 GB,15.6 Inches,Lightweight
