Title,Brand,MRP,Current Price,Discount,Rating,Reviews,Care instructions,Country of Origin,Design name,Included components,Length,Material composition,Occasion type,Pattern,Weave type
C J Enterprise Women's Kanjivaram Art Silk Saree Soft Banarasi Style Sari With Blouse Piece For Wedding (Pari122-51),C J Enterprise,999,439,56%,3.9,1585,,India,,With blouse piece,6 yards,Soft Lichi Silk,"Wedding, Party",Embroidered,Zari
Sugathari Women's Banarasi Saree Pure Kanjivaram Silk Saree Soft new ladies 2023 Design Wear Pattu Sarees Latest Cotton Party Sari collections With Blouse Piece for Wedding sadi (PARI 122 MAROON),Sugathari,2499,469,81%,4.0,476,Dry Clean Only,India,,WITH BLOUSE PIECE,,Banarasi Silk Blend,"Festival, Wedding, Party, Diwali, Traditional",Traditional Prints,Jacquard
SIRIL Women's Kanjivaram Silk Saree Pure Silk with Blouse,SIRIL,2419,563,77%,3.8,124,Hand Wash Only,India,,With blouse piece,,Silk,"Festival, Wedding",Jacquard,Jacquard
Yashika Womens Jacquard Standard Length Saree,Yashika,1799,258,86%,3.6,804,Machine Wash,India,Woven,,Saree MINALI ALL_R-Parent,100% Art Silk,Festival,,Jacquard
MADHUHANSH Kashmiri Cotton Patola Saree for Women | Cotton Saree | Sarees with Unstitched Blouse | Saree with Blouse Piece | Soft and Skin Friendly,MADHUHANSH,6999,1302,81%,4.2,194,Dry Clean Only,India,,,,Cotton,"Festival, Wedding",,Patola
Yashika Women's Banarasi Kanjivaram Cotton Silk Woven Saree with Unstitched Blouse Material,Yashika,1799,369,79%,4.2,157,Machine Wash,India,,,,100% Banarasi Kanjivaram Cotton Silk,"Festival, Party, Wedding",,Plain
MIRCHI FASHION Women's Fancy Chiffon Madhubani Printed Saree with Blouse Piece,MIRCHI FASHION,2799,474,83%,3.9,442,,India,Printed,,6 yards,Chiffon,"Festival, Farewell, Wedding, Party, Evening",Madhubani,Plain
AKHILAM Women's Paper Silk Embroidered Saree With Unstitched Blouse Piece (AARYAN14301_KR_Parent),AKHILAM,6749,1349,80%,4.0,71,Dry Clean Only,India,,,,Paper Silk,"Festival, Party, Wedding, Casual, Ceremony",Floral,
Yashika Women's Banarasi Kanjivaram Cotton Silk Woven Saree with Unstitched Blouse Material (AZ-YS-OG-PADMA PURPLE),Yashika,1799,399,78%,4.3,153,Machine Wash,India,,,,100% Banarasi Kanjivaram Cotton Silk,"Festival, Party, Wedding",,Plain
Gadwal Cotton Saree for Women | Pure Kalyani Cotton Saree with Zari Border Tassels & Blouse | Kanjivaram Linen Silk | Handloom Weave,Generic,1999,1379,31%,5.0,3,Machine Wash,India,,,,Cotton,"Festival, Party, Wedding",,Handloom
C J Enterprise Women's Pure Kanjivaram Silk Saree Paithani Soft Wedding Sarees With Blouse Piece (Chand paithani),C J Enterprise,999,489,51%,4.2,134,Dry Clean Only,India,,,,76% Art Silk 24% Kota Zari,"Festival, Wedding, Party, Casual, Ceremony",,Zari
Yashika Womens Jacquard Standard Length Saree,Yashika,1799,264,85%,3.6,953,Machine Wash,India,Woven,,Saree ALIFA ALL-Parent,100% Art Silk,Festival,,Jacquard
Satrani Women's Silk Kashmiri Minakari Weaving Saree with Unstitched Blouse Piece,Satrani,5429,1599,71%,4.9,14,Machine Wash,India,,,,Silk,"Festival, Party, Wedding",,Kashmiri Minakari
SGF11- Women's Kanjivaram Woven Soft Silk Saree With Blouse Piece,SGF11,5999,1449,76%,4.0,2311,,India,Zari,,6 yards,Kanjivaram Soft Silk,"Festival, Party, Wedding, Ceremony",Floral,Kanchipuram
Yashika Women's Fancy Banarasi Kanjivaram Art Silk Saree |Saree for Women Wedding,Yashika,1799,399,78%,4.8,64,Machine Wash,India,,1 Saree with Unstitched Blouse Piece,,Banarasi Art Silk Saree,"Festival, Party, Wedding",,
